TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,141,-210,129,-40,175,-227,240,-38,-255,
,-249,-187,235,202,-62,154,38,1,-242,
,246,162,250,-19,126,-256,45,-129,-235,
,-130,-170,-171,53,-234,-195,1,-138,47,
,239,230,-72,183,-224,237,-250,-249,-94,
,256,-160,-43,-110,-183,158,-238,64,-29,
,-125,-91,-68,53,-199,203,70,96,-40,
,22,37,216,120,-88,20,76,-20,-211,
,154,-155,-32,-16,40,191,68,-77,67,
,27,-135,158,-66,-208,-208,-37,-217,159,
,-123,74,170,40,-236,179,-247,112,203,
,75,125,-185,-26,85,107,-132,-40,-97,
,230,248,9,240,-255,188,-29,-37,-6,
,-209,-108,143,63,197,-27,-49,19,208,
,24,162,44,-238,-74,99,-185,83,3,
,6,-174,239,-10,183,-247,-118,80,85,
,-245,39,140,43,53,-77,-66,256,-87,
,-148,168,143,-116,130,-38,52,79,-238,
,147,-63,-152,-52,-142,77,-170,-2,-98,
,-251,-62,89,-214,63,-193,171,-51,124,
,166,-144,-12,-229,234,87,-252,-55,29,
,1,60,-134,-208,-240,140,178,246,-79,
,30,54,197,33,113,-15,-160,183,213,
,190,-96,69,128,235,-199,42,-92,104,
,-119,219,179,-21,-66,158,-228,92,-244,
,-166,-74,-146,87,-226,134,10,-79,-222,
,109,-47,-152,166,-214,-160,-152,-58,235,
,31,-205,-163,93,-114,19,-122,-247,154,
,84,-20,3,-158,0,241,-21,180,-22,
,54,-30,115,31,159,-120,229,111,76,
,-48,196,-35,-247,-92,185,212,-185,114,
,-236,256,128,102,-188,-62,173,197,-247,
,159,178,71,157,238,-241,-96,13,-65,
,249,35,-190,-226,-111,-121,-231,-183,116,
,61,154,-43,237,-219,-26,53,-190,7,
,-147,49,25,-123,182,38,-153,-236,-202,
,83,14,204,254,-162,-102,-151,-35,-245,
,230,-84,195,-57,20,156,4,-217,70,
,-120,-187,-9,24,-88,105,65,-158,-97,
,82,120,237,199,-21,-169,209,140,-58,
,-99,190,-122,98,-119,-192,254,-81,20,
,-37,-62,-107,134,-65,-183,129,-256,-2,
,206,31,-234,60,228,-190,23,185,90,
,46,-202,-132,256,194,194,236,153,209,
,-25,-135,-229,105,175,176,170,-26,-123,
,-35,10,137,-16,-147,199,-15,-165,-145,
,243,-139,-61,43,-132,-225,-140,205,-114,
,46,59,201,57,-203,-213,-84,163,-132,
,-166,-6,82,-57,53,-255,-213,222,44,
,-168,232,171,-236,-227,12,137,33,-129,
,102,111,149,202,215,245,-98,189,-140,
,213,178,195,114,238,-152,15,-43,11,
,63,189,139,121,239,25,100,175,52,
,-208,-75,143,-21,117,-92,53,176,88,
,-50,227,148,206,-184,-64,-64,-45,-186,
,-106,-250,29,-181,207,244,-188,-197,1,
,226,-84,-221,166,247,-217,-179,139,-44,
,53,-199,184,-45,-122,88,142,65,23,
,-151,-34,182,-181,-141,109,-74,224,-161,
,70,-95,-123,102,205,-15,-243,-180,90,
,236,-251,-170,15,49,216,-160,-147,-48,
,-18,-189,-17,233,-52,114,123,-61,81,
,-19,29,-248,115,82,-74,-25,-253,250,
,85,94,9,-166,-59,6,111,87,2,
,-26,-169,59,162,-219,-115,53,92,203,
,-220,177,-216,233,50,61,-10,236,-205,
,-113,-80,-251,184,202,-216,-231,196,-118,
,-3,-156,168,-145,86,-139,-177,145,165,
,35,229,170,243,-52,-226,-193,19,-174,
,95,-253,-57,-135,-162,-207,247,24,-114,
,217,-70,-106,-81,70,61,-124,117,-63,
,-46,22,124,62,237,-235,-58,-151,-30,
,38,-120,-133,187,217,-246,215,-146,-227,
,58,135,1,-144,-7,192,-130,-62,76,
,-101,80,-117,-205,-195,-35,-29,76,-15,
,-62,145,23,1,-193,-182,186,124,177,
,-55,-57,-145,-44,-153,211,-229,205,-171,
,74,237,250,-125,-207,-76,213,-161,-92,
,208,-131,-252,-142,-240,69,213,-8,73,
,-175,7,249,84,-34,-52,233,-194,47,
,148,84,165,-47,-38,-180,-128,241,181,
,0,62,-7,-165,-115,-247,-128,-221,245,
,134,189,-196,20,148,-69,-92,156,217,
,-123,39,-6,85,-247,230,-153,-49,180,
,218,218,-240,-241,-3,-171,-218,24,227,
,230,-156,244,100,144,27,27,-119,168,
,254,52,-200,16,0,221,-252,-161,-205,
,143,-113,-47,146,-5,56,-139,-4,-205,
,-5,213,-151,103,-71,7,242,175,164,
,-129,175,-133,-94,-157,-207,196,88,135,
,-128,28,256,105,-119,-127,-104,137,24,
,40,194,-220,67,196,50,-73,-251,43,
,20,161,194,185,130,-55,-158,144,59,
,-134,177,-41,255,-34,-91,181,139,211,
,-180,249,-246,-162,215,118,-195,-235,187,
,237,-238,-60,227,-10,-224,127,203,-256,
,-252,-171,-66,-206,-37,29,-233,-130,-66,
,-189,-7,118,0,196,58,18,202,-181,
,247,-163,76,187,186,-192,172,45,-238,
,-96,-91,164,-56,154,193,-48,145,124,
,-205,-250,113,18,-120,162,198,-138,46,
,113,-118,110,-104,-253,-228,-147,122,-213,
,-221,252,58,192,-212,-119,-78,-256,-198,
,19,121,235,141,-216,-140,74,-102,244,
,18,124,-169,-50,52,-224,11,-195,-38,
,180,-115,75,-134,46,250,174,64,205,
,27,-129,-59,-163,129,172,130,-147,-192,
,7,225,-102,-250,-73,81,168,197,205,
,-64,159,221,-197,-196,-149,98,90,89,
,105,-44,157,17,13,-173,76,184,50,
,151,-18,-224,57,217,142,-57,-122,-63,
,-22,47,-55,-213,-10,6,122,-239,248,
,24,8,77,42,10,227,118,222,58,
,237,-140,196,-210,33,-102,-219,246,-179,
,-43,-250,23,-244,81,-176,-129,-79,-256,
,114,113,-144,-171,90,-247,-112,-100,194,
,-202,200,89,170,-217,214,-230,128,18,
,236,-238,-40,30,202,54,-254,-147,-1,
,-121,13,226,-186,-65,147,7,57,56,
,56,140,-167,-199,-77,57,17,205,-55,
,81,-228,-204,-225,-103,-143,-108,22,-10,
,121,114,162,106,-87,190,150,122,-170,
,-184,95,241,-36,47,-54,-66,226,-197,
,107,213,201,70,176,-178,76,222,-134,
